1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,,2.09,0.5028,0.4535,0.9483,0.4605,1.5984,0.6606,0.9151,1.1507,0.3936,0.8586,1.2939,1.8371,1.8153,0.5167,1.14,1.5727
,,1.4766,0.5755,0.456,1.2329,0.5982,1.6403,0.8876,1.252,0.9254,0.7936,0.3054,0.8621,1.3705,2.1496,0.3708,0.8054,1.2864
,,1.4419,0.845,0.8702,1.2067,0.9921,1.3287,0.3714,1.7403,1.0295,0.5861,0.6122,0.8173,1.0627,1.1834,0.8244,1.598,2.1224
,,1.6101,0.6914,0.4218,2.6328,0.798,0.8093,0.5792,3.6137,0.455,1.0702,0.8138,1.1675,1.5893,1.6401,0.9276,1.1049,2.0437
,,0.6241,1.0667,0.4536,1.1133,0.9098,1.2258,0.6579,0.8549,0.8933,0.8034,0.4868,1.4045,0.5844,1.175,0.4496,0.9703,1.1425
,,0.8614,2.3166,0.719,2.5097,0.6047,0.6766,0.377,0.8491,1.2766,1.0018,0.4342,0.9245,1.3207,1.215,0.3916,0.6838,2.2119
,,0.6533,2.0611,0.7411,1.1024,0.5642,1.2547,0.5074,0.4461,0.788,0.6979,0.632,0.6512,1.0619,1.9356,0.7854,0.7763,1.5361
,,1.8282,0.7792,0.4703,1.2101,0.5874,1.6671,0.8456,1.4417,0.9788,0.7075,0.5468,1.4042,1.4945,1.0611,0.6664,1.2859,1.3957
,,1.2603,0.7258,0.42,0.6803,0.9541,1.8684,0.5969,1.6097,0.6676,0.9301,0.3519,0.9303,0.7495,1.5001,0.8881,0.9642,1.3862
,,1.3086,0.7441,0.1842,2.289,0.3454,1.0481,0.37,1.1112,1.3938,0.7661,0.3784,1.2616,1.5061,2.2561,0.3238,1.0375,0.8032
,,0.5665,0.8923,0.5602,1.0139,0.5401,0.9989,0.596,1.3184,0.4418,0.9051,0.8123,0.9888,0.9299,1.3469,0.5917,1.2118,1.8014
,,1.1511,0.7636,0.5341,1.6051,0.6251,1.498,0.4915,1.5698,0.9505,0.617,0.5688,0.8374,1.0582,0.9166,0.5814,0.9535,1.137
,,0.6438,0.8669,0.8363,1.512,0.9499,1.6289,0.4897,0.6594,0.7841,1.409,0.642,1.0682,1.8633,1.3088,0.3371,0.9944,2.3682
,,1.3927,0.9237,0.6029,2.6425,1.0955,0.9778,0.559,0.654,0.7068,1.1343,0.3154,0.6625,1.0112,1.731,0.4523,1.0762,1.3315
,,1.1703,1.6063,0.3966,2.3662,0.2807,0.6775,0.9636,1.3316,0.8643,0.6341,0.76,1.5946,0.8769,1.1259,0.6821,0.5036,1.4012
,,0.7287,0.6713,0.4167,2.0203,0.4271,1.06,0.467,0.9572,0.829,0.6906,0.5249,0.756,0.9838,1.379,0.5004,0.7437,0.8935
,,1.4843,1.8826,0.3882,0.9649,0.9322,1.0007,0.5268,0.9069,0.5311,0.7083,0.4585,0.7323,0.9369,1.523,0.6003,1.3571,1.0027
,,1.6523,0.6333,0.3733,1.8886,0.5073,1.0425,0.4553,1.6935,0.7113,0.747,0.6028,0.7531,1.7219,0.6884,0.6469,0.9456,1.794
