1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1.4939,2.0987,1.6477,0.5426,1.0759,0.7798,0.9366,1.1604,0.711,0.989,0.4898,0.6176,0.8555,0.5266,0.5212,0.9086,0.9897,0.6015,0.7929
1.8707,1.9874,1.0785,0.6886,0.7805,0.803,0.908,1.2961,0.7628,0.8154,0.5241,0.4264,0.7908,0.4142,0.5265,0.9934,1.2389,0.8588,1.6354
1.8413,1.8638,1.129,1.0113,1.0671,0.8133,0.7446,1.4054,0.6757,1.0085,0.612,0.4495,1.0123,0.6082,0.5751,0.8188,0.7847,0.8289,1.0805
1.8197,2.0118,1.0221,1.0489,0.9759,0.7189,1.2186,1.4244,0.7516,0.8681,0.4905,0.4371,0.9468,0.4625,0.7598,0.7386,0.8655,0.8136,0.858
2.3516,1.533,1.2277,0.4902,0.9231,0.8287,1.0822,2.0829,0.5185,1.0367,0.5951,0.4515,1.0512,0.4438,0.6986,0.9339,1.0197,0.8721,1.0087
1.6966,1.6114,0.979,0.8232,1.1859,0.8386,0.9617,0.9724,0.8174,1.2816,0.4512,0.3519,0.624,0.4532,0.6151,0.9703,0.8897,0.6465,1.0324
2.2148,1.9858,1.1649,0.7285,0.92,0.884,0.9152,1.4765,0.7183,0.9488,0.6523,0.5237,0.79,0.4632,0.7448,0.8644,0.5415,0.8656,0.9577
1.5086,1.6807,1.3727,1.1137,0.7123,0.7476,1.1366,1.2776,0.741,0.9559,0.3899,0.3391,0.862,0.584,0.8824,1.1144,0.6042,0.633,0.99
1.6436,1.8864,1.1908,0.8068,0.8406,0.6105,0.8923,0.8929,0.6226,0.9955,0.4222,0.5861,0.7498,0.4882,0.5271,1.0211,0.8364,0.7462,0.9341
1.3692,1.3372,1.0802,0.6885,0.9908,0.7423,1.167,1.1012,0.7928,0.8989,0.5174,0.391,0.9908,0.5515,0.6602,0.9674,0.8583,0.9296,1.1065
1.4292,2.1202,1.3498,0.7302,1.0391,0.6499,1.0803,1.3761,0.9455,1.1578,0.4723,0.5013,0.6988,0.5173,0.671,1.0387,0.5619,0.697,0.813
3.7093,1.5958,1.4515,0.7572,0.9963,0.6333,1.2054,1.394,0.748,1.7502,0.5209,0.4892,0.8131,0.4517,0.6663,1.2774,0.7427,0.8723,1.2301
1.8963,2.0616,1.1278,0.7472,1.2787,0.7191,1.0309,1.2915,0.7581,1.1096,0.5243,0.4493,0.8519,0.5902,0.7544,0.898,0.8638,0.734,0.9058
1.6918,2.0389,1.2852,0.7195,1.0803,0.7247,0.8859,1.3301,0.5578,0.67,0.4715,0.4092,0.6269,0.6421,0.8437,0.929,0.9557,0.7845,1.3536
2.099,1.8013,1.584,0.5991,0.872,0.5784,1.3201,1.3672,0.6996,0.7743,0.4433,0.3516,0.847,0.581,0.673,1.1544,0.5394,0.798,0.8566
1.6225,1.515,1.3405,1.0521,1.119,0.7385,1.179,1.5673,0.8507,1.0296,0.4527,0.4087,0.8333,0.6127,0.7748,0.9796,0.8593,0.7255,1.0587
2.7664,1.8854,1.3103,0.5971,0.8357,0.763,0.8413,1.376,0.6391,1.2071,0.4888,0.4179,0.7639,0.4769,0.559,1.3178,0.9257,0.9262,1.1013
3.1816,1.7563,1.6583,0.9753,0.8216,0.6736,1.1128,1.2634,0.6847,0.8744,0.566,0.4335,0.9202,0.6185,0.4998,1.3337,0.9889,0.6106,0.9668
2.2413,2.1583,1.2511,0.7805,0.8541,0.9609,1.2396,0.9025,0.7719,1.1099,0.5158,0.3875,1.0162,0.5004,0.5764,0.914,0.9039,0.9401,0.76
1.9707,1.2251,1.0858,0.7029,0.8196,0.7163,0.9671,1.0981,0.5912,0.9848,0.4148,0.4539,0.8729,0.554,0.7862,1.2598,0.624,0.6752,0.8813
2.8368,1.5545,0.9769,0.7386,0.8184,0.9828,1.2844,1.2957,0.656,0.8946,0.4654,0.3766,0.7506,0.5566,0.6308,1.0712,0.7791,0.7713,0.995
2.1036,1.7296,0.9559,0.7547,0.9382,0.8295,0.8636,1.1155,0.6851,1.0569,0.5494,0.4779,0.6037,0.5433,0.538,1.0275,0.7111,0.78,1.0839
2.3752,2.536,1.4006,0.7833,0.7556,0.8307,0.8454,1.2618,0.6387,0.8158,0.4429,0.5343,0.8176,0.5574,0.4677,1.4194,0.8054,0.7419,0.8786
2.1029,1.739,1.4756,0.9304,1.0948,0.4983,1.2129,1.3266,0.5282,0.9036,0.5523,0.519,0.5514,0.558,0.8781,0.8203,0.6673,0.8573,1.1524
1.588,1.5779,1.6647,0.8015,0.8102,0.8442,0.9199,1.3802,0.6704,1.2405,0.4114,0.4148,0.6944,0.5911,0.6061,1.066,0.8852,0.6399,0.9002
