1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0.9165,0.4271,0.2355,0.5786,0.3072,0.592,0.237,0.4032,0.4884,0.199,0.29,0.2954,0.2942,0.1908,0.2641,0.4559,0.3729,0.2162,0.2095
1.0142,0.7713,0.2187,0.438,0.3471,0.6357,0.3098,0.3568,0.3466,0.2434,0.2209,0.4728,0.2141,0.2202,0.1509,0.3601,0.4557,0.2428,0.2153
0.5215,0.6084,0.3249,0.8949,0.2936,0.4481,0.4714,0.2632,0.6137,0.1584,0.4841,0.2173,0.2439,0.1131,0.2927,0.4614,0.3457,0.3326,0.3011
0.8418,0.6022,0.4109,0.5188,0.332,0.4079,0.4651,0.6284,0.5407,0.1669,0.3119,0.3276,0.3229,0.1729,0.217,0.3615,0.3264,0.1856,0.271
0.6574,0.4781,0.2918,0.4592,0.341,0.3293,0.3994,0.3199,0.7239,0.1909,0.4484,0.3131,0.3176,0.1883,0.139,0.3459,0.3384,0.2165,0.1603
0.6985,1.0129,0.2891,0.5617,0.3026,0.4279,0.5466,0.5649,0.4633,0.2339,0.5612,0.4082,0.2514,0.1242,0.2043,0.3495,0.1939,0.3127,0.2773
0.7726,0.6841,0.2903,0.3994,0.2635,0.3461,0.2731,0.5096,0.4732,0.185,0.4675,0.594,0.2671,0.1272,0.2627,0.311,0.2758,0.1965,0.1693
0.8222,0.7239,0.2856,0.5392,0.3239,0.5436,0.4907,0.5976,0.3927,0.3145,0.4719,0.2984,0.2562,0.1413,0.2055,0.3893,0.1918,0.1659,0.2522
0.7562,1.0069,0.2681,0.3063,0.2445,0.557,0.3544,0.3995,0.3746,0.1685,0.5141,0.2689,0.2052,0.1242,0.1862,0.3687,0.2576,0.2511,0.1507
1.2917,0.6164,0.2058,0.4873,0.339,0.4046,0.3939,0.6756,0.5431,0.3361,0.3486,0.4033,0.2596,0.1646,0.2709,0.3211,0.4611,0.146,0.1867
0.6818,0.6212,0.3584,0.6572,0.4461,0.686,0.3456,0.4951,0.3975,0.3734,0.3705,0.2185,0.1642,0.0725,0.3047,0.3089,0.2113,0.2289,0.2268
1.0668,0.4096,0.3988,0.479,0.3757,0.4138,0.321,0.4671,0.6611,0.2042,0.3065,0.368,0.2708,0.2095,0.2755,0.4386,0.3761,0.2243,0.2622
0.844,0.6978,0.3253,0.4495,0.2794,0.3296,0.4924,0.7531,0.5308,0.1868,0.2787,0.3762,0.2587,0.1952,0.1904,0.2497,0.2461,0.204,0.2104
1.1949,0.7005,0.4671,0.724,0.274,0.4111,0.3351,0.5945,0.418,0.2052,0.3882,0.4999,0.1511,0.1439,0.1654,0.4019,0.2206,0.1349,0.29
0.7697,0.6589,0.4013,0.7751,0.5757,0.3932,0.3946,0.5163,0.4166,0.204,0.3513,0.3533,0.279,0.2053,0.1999,0.3489,0.2927,0.196,0.2316
0.9621,0.6637,0.2492,0.5222,0.3063,0.4224,0.2781,0.6507,0.3502,0.182,0.3802,0.4551,0.1758,0.1935,0.322,0.2755,0.261,0.1636,0.2265
0.74,0.6014,0.3403,0.5593,0.2957,0.3418,0.2712,0.6234,0.4437,0.2098,0.4432,0.3584,0.169,0.1619,0.2172,0.3244,0.2894,0.2472,0.2725
0.6773,0.5115,0.3316,0.589,0.3413,0.2727,0.4194,0.5131,0.3732,0.1136,0.2963,0.2749,0.2182,0.099,0.2217,0.2675,0.1536,0.1938,0.2076
0.887,0.8342,0.3363,0.3926,0.1985,0.5682,0.3038,0.2887,0.66,0.2417,0.338,0.2516,0.2848,0.231,0.204,0.3604,0.3117,0.2305,0.1864
0.646,0.629,0.292,0.9539,0.5411,0.594,0.3166,0.3979,0.5003,0.1469,0.3748,0.3419,0.1948,0.1465,0.2397,0.3523,0.2378,0.2094,0.1731
0.686,1.1083,0.4786,0.6414,0.4271,0.4319,0.3329,0.5123,0.6171,0.1661,0.1984,0.3582,0.2843,0.1747,0.2196,0.4922,0.3687,0.2242,0.1458
0.9349,0.8081,0.2952,0.5461,0.3431,0.3428,0.4591,0.3826,0.4436,0.1507,0.3293,0.2635,0.2083,0.2175,0.1793,0.6098,0.2628,0.2018,0.1924
0.479,0.7012,0.2679,0.4247,0.36,0.4396,0.3557,0.4441,0.5094,0.1747,0.2871,0.2755,0.2949,0.1821,0.2085,0.3058,0.3777,0.2132,0.1867
0.7562,0.6153,0.2192,0.6137,0.2918,0.6217,0.2899,0.5347,0.44,0.2784,0.3101,0.3033,0.2654,0.1307,0.3168,0.3826,0.2897,0.2022,0.2714
0.7233,0.5037,0.3557,0.5756,0.2306,0.4838,0.3451,0.6109,0.4806,0.2322,0.2488,0.1885,0.2442,0.1405,0.1775,0.2433,0.3116,0.3815,0.2341
1.0758,0.3566,0.1635,0.6043,0.3202,0.4388,0.5252,0.5322,0.6209,0.174,0.2981,0.3371,0.2506,0.1766,0.1552,0.3353,0.2605,0.2202,0.2561
0.6516,0.7945,0.31,0.711,0.3644,0.5351,0.386,0.3341,0.4304,0.1779,0.4518,0.1906,0.1894,0.1617,0.2104,0.626,0.2258,0.2902,0.2219
